Tab_Name,Name,Short_Desc,Latitude,Longitude,Description,Website,Pic_URL
Food,Trio,Cool contemporary restaurant in the Uptown Design District,33.833283,-116.547039,Trendy atmosphere with nicely designed interior. Can be pricey.,http://www.triopalmsprings.com,http://downloads.esri.com/blogs/places/palmsprings/restaurant_trio.png
Food,El Mirasol at Los Arboles,Mexican restaurant in very attractive building with a walled garden patio.,33.833423,-116.54534,"There are two El Mirasol restaurants in town. This is the nicest of the two, with indoor and outdoor seating in an attractive adobe-style building, with a very pleasant walled garden patio.",http://www.elmirasolrestaurants.com/,http://downloads.esri.com/blogs/places/palmsprings/restaurant_el_mirasol.png
Food,Copley's on Palm Canyon,Upscale fine American cuisine in part of Cary Grant's old estate.,33.832237,-116.547327,"Expensive, classy, but casual dinner experience. Eat inside in the former 1940's guesthouse of Cary Grant's estate, or on the mountain-view patio. Reservations recommended.",http://www.copleyspalmsprings.com,http://downloads.esri.com/blogs/places/palmsprings/restaurant_copleys.png
Food,Cheeky's,Very popular breakfast and lunch spot.,33.832205,-116.546672,"Very popular spot for breakfast or lunch in the Uptown Design District. Interesting menu with items like 'garnet yam hash with maple sage sausage and poached eggs' and 'omelette with rainbow chard, serrano chile, roasted cumin and drunken goat cheese'.",http://www.cheekysps.com,http://downloads.esri.com/blogs/places/palmsprings/restaurant_cheekys.png
Food,Cafe Europa,Breakfast and lunch place with patio in nice courtyard.,33.830797,-116.547074,Cafe Europa offers cafe/bistro style food and a trendy atmosphere. The businesses in this building share a courtyard garden with views of the mountains. It's located at the south end of the Uptown Design District.,http://www.cafeeuropapalmsprings.com/,http://downloads.esri.com/blogs/places/palmsprings/cafe_europa.png
Food,Koffi,Hip coffee bar with nice courtyard.,33.830449,-116.547047,Hip coffee bar in historic commercial building. A secret garden courtyard out back known only to locals has beautiful mountain vistas. Free wi-fi.,http://www.kofficoffee.com,http://downloads.esri.com/blogs/places/palmsprings/cafe_koffi.png
Food,Purple Palm Restaurant and Bar,Very romantic hideway in quiet small hotel.,33.831421,-116.545058,Hidden away in the beautiful Colony Palms Hotel you'll find this glamorous small restaurant with indoor or poolside seating in the garden. Expensive.,http://www.colonypalmshotel.com/dining.php,http://downloads.esri.com/blogs/places/palmsprings/restaurant_purple_palm.png
Food,Tyler's Burgers,Local institution widely considered best burger in town.,33.822036,-116.54581,Tyler's has been here in the Mercado Plaza for years serving a classic menu of burgers and sandwiches. A recent Los Angeles Times story said that if you ask almost anyone in Palm Springs where to get a great burger the answer probably is Tyler's.,http://tylersburgers.com/,http://downloads.esri.com/blogs/places/palmsprings/restaurant_tylers.png
Food,Sherman's Deli and Bakery,Old school Jewish deli and local institution close to Convention Center.,33.822874,-116.54323,This old school Kosher-style family restaurant is a local institution popular with residents and people attending conferences at the nearby Convention Center.,http://www.shermansdeli.com/,http://downloads.esri.com/blogs/places/palmsprings/restaurant_shermans.png
Food,Palm Greens Cafe,Friendly place with healthy food and nice atmosphere.,33.813554,-116.54681,Very friendly place serving healthy high quality organic food. This is your best bet for wholefood type dining in Palm Springs. Fresh squeezed juices and smoothies too. Nice environment.,http://palmgreenscafe.com/,http://downloads.esri.com/blogs/places/palmsprings/restaurant_palm_greens.png
Food,Monsoon Indian Cuisine,Great food from the Indian sub-continent.,33.815257,-116.528821,Indian restaurant in rather out-of-the-way location. Buffet lunch offered daily too. Meat and vegetarian entrees.,http://monsoonindianrestaurant.com/,http://downloads.esri.com/blogs/places/palmsprings/restaurant_monsoon.png
Food,Aspen Mills Bakery & Bread Company,Popular local bakery and lunch place.,33.814544,-116.528818,"Locals flock here for fresh-baked daily breads, muffins, and cookies, and for their sandwiches and salads. They also have two locations in Rancho Mirage to the east.",http://aspenmillsps.com/,http://downloads.esri.com/blogs/places/palmsprings/cafe_aspen_mills.png
Food,Kings Highway,Reimagined hipster diner in the Ace Hotel.,33.800904,-116.539792,"The Kings Highway is a reimagined American diner serving seasonal and organic food in a renovated building that used to be a Denny's. Breakfast, lunch, dinner and late nite. The Amigo Room, a dark cocktail lounge, is adjacent behind the hotel lobby.",http://www.acehotel.com/palmsprings/dining,http://downloads.esri.com/blogs/places/palmsprings/restaurant_kings_highway.png
Food,Koffi,Hip coffee bar part of stylish new development.,33.800871,-116.538917,Hip coffee bar with cool contemporary design (part of the Oceo development). They also have a location in downtown Palm Springs in the Uptown Design District. This location is just north of the Twin Palms Estates neighborhood. Free wi-fi.,http://www.kofficoffee.com,http://downloads.esri.com/blogs/places/palmsprings/cafe_koffi.png
Food,Escena Lounge & Grill,Super views over the greens at this restaurant in a golf club.,33.838807,-116.496185,"Golf is a big part of the Palm Springs experience so here's a restaurant on a public golf course. This is often recommended by locals. There are dramatic views to the mountains from the patio dining area or sit indoors in classy, bright, attractive room.",http://links.esri.com/palmsprings/places/escena_grill,http://downloads.esri.com/blogs/places/palmsprings/restaurant_escena_grill.png
Hotels,Riviera Hotel,Mid-century building with lots of glamorous touches.,33.845477,-116.544819,"This classy mid-century hotel built in 1959 has many interesting design features including a gorgeous curved glass walled lobby with its Starlite Lounge bar. Inside you'll find the stylish restaurant, Circa 59, and the Sidebar for cocktails.",http://www.psriviera.com/,http://downloads.esri.com/blogs/places/palmsprings/hotel_riviera.png
Hotels,Movie Colony Hotel,Small and private mid-century hotel.,33.833169,-116.545355,"Small and private mid-century modern hotel at the edge of the mysterious Movie Colony neighborhood. Originally designed by Albert Frey in 1935, a student of LeCorbusier. Features rooms and townhouses. Simple, stylish design.",http://www.moviecolonyhotel.com,http://downloads.esri.com/blogs/places/palmsprings/hotel_movie_colony.png
Hotels,Colony Palms Hotel,Gorgeous hotel with lovely gardens and romantic restaurant.,33.831412,-116.545343,Gorgeous medium sized hotel with lots of atmosphere. Great design everywhere. The unassuming exterior belies the lovely Mediterranean interior and grounds with its pool and lush landscaping.,http://www.colonypalmshotel.com,http://downloads.esri.com/blogs/places/palmsprings/hotel_colony_palms.png
Hotels,Hyatt Regency Suites Palm Springs,Distinctive trapezoid hotel right on lively Palm Canyon Drive at the foot of the mountains.,33.826091,-116.547121,It's easy to walk to everything in downtown from this large all-suites hotel. West facing rooms have great views up the steep slopes of the San Jacinto Mountains. There's a wine lounge and poolside bar.,http://links.esri.com/palmsprings/places/hotel_hyatt_regency,http://downloads.esri.com/blogs/places/palmsprings/hotel_hyatt.png
Hotels,The Willows,Luxurious hideaway in historic 1925 villa.,33.82314,-116.550471,"Originally built in 1925 by Los Angeles Board of Water Commissioner William Mead as the winter retreat for he and his wife, The Willows is now a gorgeous bed and breakfast with eight guest rooms.",http://links.esri.com/palmsprings/places/willows,http://downloads.esri.com/blogs/places/palmsprings/hotel_willows.png
Hotels,Orbit In,Mid-century inn now hipster hideout.,33.821477,-116.551962,This small nine room hotel is in a beautifully restored and upgraded classic mid-century courtyard inn designed by Herbert Burns in 1947.,http://www.orbitin.com/,http://downloads.esri.com/blogs/places/palmsprings/hotel_orbit_in.png
Hotels,Andalusian Court,Charming small Spanish style inn.,33.821478,-116.550985,"Charming small Spanish revival inn offering 9 villa rooms each at least 650 square feet, arranged in a very creatively done garden with small pool.",http://www.theandalusiancourt.com/,http://downloads.esri.com/blogs/places/palmsprings/hotel_andalusian_court.png
Hotels,Korakia Pensione,Creative small hotel in a beautiful Moroccan villa.,33.820187,-116.551515,A really beautiful atmospheric small hotel comprised of a Moroccan villa and a Mediterranean villa. Complimentary bicycles for exploring. Moroccan tea service every afternoon. Friendly staff. A really unique place to stay.,http://www.korakia.com,http://downloads.esri.com/blogs/places/palmsprings/hotel_korakia.png
Hotels,Hard Rock Hotel Palm Springs,Large hotel close to everything in downtown.,33.822156,-116.544983,"Formerly the Hotel Zoso, this large hotel is in a convenient location between downtown and the Convention Center.",http://www.hrhpalmsprings.com,http://downloads.esri.com/blogs/places/palmsprings/hotel_hard_rock.png
Hotels,Hilton Palm Springs,Comfortable large low-rise hotel with big pool two blocks from lively Palm Canyon Drive.,33.823695,-116.54311,The Hilton is not the hippest place to stay in town but its location two blocks from Palm Canyon Drive and two blocks from the Convention Center makes it really convenient. The nicely designed hotel lobby is bright and airy.,http://links.esri.com/palmsprings/places/hotel_hilton,http://downloads.esri.com/blogs/places/palmsprings/hotel_hilton.png
Hotels,Renaissance Palm Springs Hotel,"Large, recently remodeled hotel with colorful new decor, connected to the Convention Center next door.",33.823889,-116.538595,"With over 550 rooms and suites there's plenty of space for everyone here. The expansive, colorful outdoor area has the largest hotel pool in town (5000 square feet), firepits, whirlpool, private cabanas, and a separate children's pool.",http://links.esri.com/palmsprings/places/hotel_renaissance,http://downloads.esri.com/blogs/places/palmsprings/renaissance_hotel.png
Hotels,Del Marcos Hotel,Classic small mid-century hotel.,33.819274,-116.548169,Another classic small mid-century hotel arranged courtyard style around a pool. The building was designed by William Cody in 1947 with sloping stone walls on the outside.,http://www.delmarcoshotel.com,http://downloads.esri.com/blogs/places/palmsprings/hotel_del_marcos.png
Hotels,Viceroy Palm Springs,"Glamorous, upscale and very hip hotel.",33.817549,-116.548199,"This glamorous small boutique hotel in a 1930s building is one of the handful of upscale Viceroy hotels in North America. The rooms, the intimate restaurant, Citron, and the pool area all look great. You pretty much have to as well.",http://www.viceroypalmsprings.com/,http://downloads.esri.com/blogs/places/palmsprings/hotel_viceroy.png
Hotels,Desert Star Hotel,Classic mid-century bungalows around a small pool.,33.80288,-116.541496,"This small hotel is actually a set of five beautiful mid-century modern bungalows, each more than 572 square feet and with a fully equipped kitchen.",http://links.esri.com/palmsprings/places/desert_star,http://downloads.esri.com/blogs/places/palmsprings/hotel_desert_star.png
Hotels,Ace Hotel,Funky hipster hangout on East Palm Canyon Drive with uber cool restaurant and bar.,33.800893,-116.540269,"Popular hotel with unique funky aesthetic run by the small and very cool Ace Hotel group. Next to the lobby you'll find the Kings Highway, a reimagined American diner serving seasonal and organic food, and the Amigo Room cocktail lounge.",http://www.acehotel.com/palmsprings,http://downloads.esri.com/blogs/places/palmsprings/hotel_ace.png
Hotels,The Horizon Hotel,Beautifully restored mid-century bungalow hotel.,33.801786,-116.535337,"One of several small hotels in Palm Springs with classic mid-century architecture. This is the real deal. Designed by William Cody in 1952, the hotel has been beautifully restored.",http://www.thehorizonhotel.com/,http://downloads.esri.com/blogs/places/palmsprings/hotel_horizon.png
Hotels,The Saguaro,An extraordinary vibrant color palette is the hallmark of this large hotel.,33.802169,-116.5271,"New York based Stamberg Aferiat Architecture remodelled this former Holiday Inn into an oasis of color on East Palm Canyon Drive, using a palette of 14 different colors.",http://links.esri.com/palmsprings/places/saguaro,http://downloads.esri.com/blogs/places/palmsprings/hotel_saguaro.png
Hotels,Parker Hotel,Whimsical Hollywood hideaway with wonderful gardens.,33.795413,-116.500647,"This whimsical hotel is an truly extraordinary place. Everything about it has a dream-like Alice-in-Wonderland quality, especially the wonderful grounds with their hidden lawns, croquet, palm court, and secret passageways.",http://www.theparkerpalmsprings.com,http://downloads.esri.com/blogs/places/palmsprings/hotel_parker.png
